"Id";"Title";"Body"
"18353064";"Where do I add my intent-filter in AndroidManifest.xml?";"<p>Here is what I am trying to set up: My Android app requires email confirmation. They register using my app, and then an email is sent to them with a link. I want to have that link open the app directly, but I've been told it's better to have the link open page on my web site that in turn opens the app using a redirect. The link also sends the user's email address and a verification code.</p>&#xA;&#xA;<p>Okay, so, do that, my understanding is that I need to add this code to my <code>AndroidManifest.xml</code> (where MYAPP is the name of my web site):</p>&#xA;&#xA;<pre><code>        &lt;intent-filter&gt;&#xA;            &lt;action android:name=""android.intent.action.VIEW"" /&gt;&#xA;            &lt;category android:name=""android.intent.category.DEFAULT"" /&gt;&#xA;            &lt;category android:name=""android.intent.category.BROWSABLE"" /&gt;&#xA;            &lt;data android:scheme=""http"" android:host=""MYAPP.com"" android:path=""/confirmation.html"" /&gt;&#xA;        &lt;/intent-filter&gt;&#xA;</code></pre>&#xA;&#xA;<p>And then my web site has a page with this in the <code>&lt;head&gt;</code> (where MYAPP is the name of my app):</p>&#xA;&#xA;<pre><code>meta http-equiv=""refresh"" content=""0;URL=MYAPP://?verification=' . $_GET[""verification""] . '&amp;email=' . $_GET[""email""] . '""/&gt;&#xA;</code></pre>&#xA;&#xA;<p>It's not working, and I'm possibly making multiple mistakes.</p>&#xA;&#xA;<p>First question is, where does my <code>&lt;intent-filter&gt;</code> go? I've only read that it goes within the <code>&lt;activity&gt;</code> tags, but in my <code>AndroidManifest.xml</code>, I have two <code>&lt;activity&gt;</code> tags:</p>&#xA;&#xA;<pre><code>    &lt;activity android:label=""@string/app_name"" android:name="".MYAPP"" android:screenOrientation=""unspecified"" android:configChanges=""locale|keyboard|keyboardHidden|orientation|screenSize""&gt;&#xA;        &lt;intent-filter&gt;&#xA;            &lt;action android:name=""android.intent.action.MAIN"" /&gt;&#xA;            &lt;category android:name=""android.intent.category.LAUNCHER"" /&gt;&#xA;        &lt;/intent-filter&gt;&#xA;    &lt;/activity&gt;&#xA;    &lt;activity android:label=""@string/app_name"" android:name=""com.phonegap.DroidGap""&gt;&#xA;        &lt;intent-filter /&gt;&#xA;    &lt;/activity&gt;&#xA;</code></pre>&#xA;&#xA;<p>I tried adding my <code>&lt;intent-filter&gt;</code> in one, but that doesn't seem to work:</p>&#xA;&#xA;<pre><code>    &lt;activity android:label=""@string/app_name"" android:name="".MYAPP"" android:screenOrientation=""unspecified"" android:configChanges=""locale|keyboard|keyboardHidden|orientation|screenSize""&gt;&#xA;        &lt;intent-filter&gt;&#xA;            &lt;action android:name=""android.intent.action.MAIN"" /&gt;&#xA;            &lt;category android:name=""android.intent.category.LAUNCHER"" /&gt;&#xA;        &lt;/intent-filter&gt;&#xA;        &lt;intent-filter&gt;&#xA;            &lt;action android:name=""android.intent.action.VIEW"" /&gt;&#xA;            &lt;category android:name=""android.intent.category.DEFAULT"" /&gt;&#xA;            &lt;category android:name=""android.intent.category.BROWSABLE"" /&gt;&#xA;            &lt;data android:scheme=""http"" android:host=""MYAPP.com"" android:path=""/confirmation.html"" /&gt;&#xA;        &lt;/intent-filter&gt;&#xA;    &lt;/activity&gt;&#xA;    &lt;activity android:label=""@string/app_name"" android:name=""com.phonegap.DroidGap""&gt;&#xA;        &lt;intent-filter /&gt;&#xA;    &lt;/activity&gt;&#xA;</code></pre>&#xA;&#xA;<p>Where do I put my <code>&lt;intent-filter&gt;</code>?</p>&#xA;&#xA;<p>Is the rest of my code, especially my redirect URL, okay?</p>&#xA;&#xA;<p>Please note I am a beginner and I am using Phonegap to build this app, so please do not assume I know a great deal about Android app development. Thanks for your understanding.</p>&#xA;"
"18538513";"How to detect screen pressure on android?";"<p>I want to get the pressure of the screen. When ill run the application displaying me a message <code>Unfortunately, Application has stopped.</code> I have another question when ill get the pressure of the screen does its possible to convert in a weigh (<strong>grams</strong>) with some math or physic ? Here is the code i have:</p>&#xA;&#xA;<p><strong>EDIT:</strong> I'm running this application on tablet</p>&#xA;&#xA;<pre><code>package com.realscale.stefanrafa;&#xA;&#xA;    import android.app.Activity;&#xA;    import android.os.Bundle;&#xA;    import android.view.Menu;&#xA;    import android.view.MotionEvent;&#xA;    import android.widget.TextView;&#xA;&#xA;    public class MainActivity extends Activity {&#xA;&#xA;        TextView textinfo;&#xA;        MotionEvent pressure;&#xA;        @Override&#xA;        protected void onCreate(Bundle savedInstanceState) {&#xA;            super.onCreate(savedInstanceState);&#xA;            setContentView(R.layout.activity_main);&#xA;            textinfo = (TextView) findViewById(R.id.Information);&#xA;&#xA;            float press = pressure.getPressure();&#xA;            textinfo.setText(""Scale: "" + (int) press);&#xA;        }&#xA;&#xA;        @Override&#xA;        public boolean onCreateOptionsMenu(Menu menu) {&#xA;            // Inflate the menu; this adds items to the action bar if it is present.&#xA;            getMenuInflater().inflate(R.menu.main, menu);&#xA;            return true;&#xA;        }&#xA;&#xA;    }&#xA;</code></pre>&#xA;&#xA;<p>Error logs :</p>&#xA;&#xA;<pre><code>08-30 19:53:40.620: W/ActivityThread(29458): Application com.realscale.stefanrafa can be debugged on port 8100... 08-30 19:53:40.710: D/AndroidRuntime(29458): Shutting down VM 08-30 19:53:40.710: W/dalvikvm(29458): threadid=1: thread exiting with uncaught exception (group=0x41a0c2a0) &#xA;08-30 19:53:40.715: E/AndroidRuntime(29458): FATAL EXCEPTION: main 08-30 19:53:40.715: E/AndroidRuntime(29458): java.lang.RuntimeException: Unable to start activity ComponentInfo{com.realscale.stefanrafa/com.realscale.stefanrafa.MainActivity}: java.lang.NullPointerException &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2110)        &#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2135) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.ActivityThread.access$700(ActivityThread.java:140) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1237) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.os.Handler.dispatchMessage(Handler.java:99) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.os.Looper.loop(Looper.java:137) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.ActivityThread.main(ActivityThread.java:4921) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at java.lang.reflect.Method.invokeNative(Native Method) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at java.lang.reflect.Method.invoke(Method.java:511) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1038) 08-30 19:53:40.715: E/AndroidRuntime(29458):    at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:805) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at dalvik.system.NativeStart.main(Native Method) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458): Caused by: java.lang.NullPointerException &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at com.realscale.stefanrafa.MainActivity.onCreate(MainActivity.java:19) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.Activity.performCreate(Activity.java:5188) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1094) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2074) &#xA;&#xA;08-30 19:53:40.715: E/AndroidRuntime(29458):    ... 11 more&#xA;</code></pre>&#xA;"
"18679303";"Getting Dialog to display one time";"<p>I have an alert dialog in my application that launches as soon as the application does.  I want my <code>alertDialog</code> only to display when the activity is first launched after it has been installed after that I do not want the <code>alertDialog</code> to ever pop up again unless the user deletes the application an d then installs it again.  I have tried looking to see how can I achieve this method and tried learning to write the proper code but I just can not seem to get it done properly.  So can somebody help me achieve this method and get around this issue.</p>&#xA;&#xA;<pre><code>    public class MainActivity extends Activity {&#xA;&#xA;&#xA;        @Override&#xA;        protected void onCreate(Bundle savedInstanceState) {&#xA;            super.onCreate(savedInstanceState);&#xA;            setContentView(R.layout.activity_main);&#xA;&#xA;      SharedPreferences preferences = PreferenceManager.getDefaultSharedPreferences(this);&#xA;    boolean initialDialogDisplayed = preferences.getBoolean(""InitialDialog"", false);&#xA;    if (!initialDialogDisplayed) {&#xA;        Editor editor = preferences.edit();&#xA;        editor.putBoolean(""InitialDialog"", true);&#xA;        editor.commit();&#xA;&#xA;&#xA;final AlertDialog.Builder alertDialog = new AlertDialog.Builder(this);&#xA;&#xA;        alertDialog.setTitle(""Alert"");&#xA;        alertDialog.setIcon(R.drawable.ic_launcher);&#xA;        alertDialog.setMessage(""Dialog"");&#xA;&#xA;        alertDialog.setPositiveButton(""OK"", new DialogInterface.OnClickListener() {&#xA;&#xA;            public void onClick(DialogInterface dialog, int which) {&#xA;&#xA;            }&#xA;         });&#xA;&#xA;        alertDialog.show();&#xA;                final EditText et = (EditText) findViewById(R.id.editText1);&#xA;                Button getAnswer = (Button) findViewById(R.id.button1);&#xA;                getAnswer.setOnClickListener(new OnClickListener() {&#xA;                    @Override&#xA;                    public void onClick(View v) {       &#xA;                        if (et.getText().toString().length()==0) {&#xA;                            Toast.makeText(getApplicationContext(),""Can't Be Blank!"",Toast.LENGTH_LONG).show();             &#xA;&#xA;                        }else{&#xA;                            EditText et = (EditText) findViewById(R.id.editText1);&#xA;                            String searchTerm = et.getText().toString().trim();         &#xA;                            Intent in = new Intent(MainActivity.this, ListView.class);&#xA;                            in.putExtra(""TAG_SEARCH"", searchTerm);&#xA;                            startActivity(in);&#xA;                        }&#xA;&#xA;                    }&#xA;                });&#xA;            }&#xA;         }&#xA;&#xA;&#xA;        @Override&#xA;        protected void onStop() {&#xA;            // TODO Auto-generated method stub&#xA;            super.onStop();&#xA;        }}&#xA;</code></pre>&#xA;"
"18923079";"Google Play Game Services - Custom Notification / Welcome Back";"<p>I have been looking all over the internet, but can't find my answer. <br><br>&#xA;Is there a way to show the user that they are signed in to the GPGS. &#xA;The first time you sign in you'll get a notification, what will say ""Welcome &lt; name >""&#xA;But when you open the app the next time nothing is shown.<br><br>&#xA;Is there a way to show a Welcome Back notification? <br>For iOS it is possible: noted just above Step 9:&#xA;<a href=""https://developers.google.com/games/services/ios/quickstart?hl=en#step_9_add_a_sign-out_button"">https://developers.google.com/games/services/ios/quickstart?hl=en#step_9_add_a_sign-out_button</a></p>&#xA;&#xA;<p>Any ideas?</p>&#xA;"
"18963113";"Android project display error on R.id.button";"<p>I surdenly noticed that My project starts throwing error anytime I try to access a resources that is a button. It underlines R.id.button. I dont understand why. I even deleted the last xml that I created but problem persist.</p>&#xA;&#xA;<p>This is an example of my xml file</p>&#xA;&#xA;<pre><code>&lt;?xml version=""1.0"" encoding=""utf-8""?&gt;&#xA;&lt;LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android""&#xA;    android:layout_width=""match_parent""&#xA;    android:layout_height=""match_parent""&#xA;    android:background=""@drawable/layoutborder""&#xA;    android:orientation=""vertical"" &gt;&#xA;&#xA;    &lt;TextView&#xA;        android:id=""@+id/chat""&#xA;        android:layout_width=""wrap_content""&#xA;        android:layout_height=""wrap_content""&#xA;        android:layout_margin=""10dp""&#xA;        android:text=""@string/stepone""&#xA;        android:textAppearance=""?android:attr/textAppearanceMedium""&#xA;        android:textColor=""@color/wine"" /&gt;&#xA;&#xA;    &lt;ImageView&#xA;        android:id=""@+id/imageView1""&#xA;        android:layout_width=""wrap_content""&#xA;        android:layout_height=""wrap_content""&#xA;        android:layout_margin=""10dp""&#xA;        android:src=""@drawable/ai"" /&gt;&#xA;&#xA;    &lt;Button&#xA;        android:id=""@+id/drugdetails""&#xA;        style=""@style/smallButtonStyleBlackpearl""&#xA;        android:layout_width=""match_parent""&#xA;        android:layout_height=""wrap_content""&#xA;        android:layout_marginLeft=""20dp""&#xA;        android:layout_marginRight=""20dp""&#xA;        android:layout_marginTop=""10dp""&#xA;        android:text=""@string/nextbut"" /&gt;&#xA;&#xA;&lt;/LinearLayout&gt;&#xA;</code></pre>&#xA;&#xA;<p>My Java code</p>&#xA;&#xA;<pre><code>package com.example.rhemahealthcare;&#xA;&#xA;import android.content.Intent;&#xA;import android.os.Bundle;&#xA;import android.view.View;&#xA;import android.view.View.OnClickListener;&#xA;import android.widget.Button;&#xA;&#xA;import com.actionbarsherlock.app.SherlockActivity;&#xA;import com.example.rhemahealthcare.R;&#xA;&#xA;public class SteponeActivity extends SherlockActivity{&#xA;&#xA;&#xA;    @Override&#xA;    public void onCreate(Bundle savedInstanceState){&#xA;        super.onCreate(savedInstanceState);&#xA;        setContentView(R.layout.steponeactivity);&#xA;&#xA;        final Button button = (Button)findViewById(R.id.button1);&#xA;        button.setOnClickListener(new OnClickListener(){&#xA;&#xA;            @Override&#xA;            public void onClick(View v){&#xA;                // TODO Auto-generated method stub&#xA;                Intent intent = new Intent(SteponeActivity.this,SteptwoActivity.class);&#xA;                startActivity(intent);&#xA;            }&#xA;&#xA;        });&#xA;    }&#xA;&#xA;}&#xA;</code></pre>&#xA;"
"19099296";"Set Text View ellipsize and add view more at end";"<p>I am trying to set ellipsize of text view. using the following code. I want to add ""view more"" at the end of truncated string after 3 dots. If this would be possible with same text view that would be great, or ""view more"" in seperate text view will also work. Max lines allow are 4. I tried to set width of first text view but it left the empty space at end of first 3 lines. Please see the image below.</p>&#xA;&#xA;<pre><code>&lt;RelativeLayout&#xA;    android:layout_width=""match_parent""&#xA;    android:layout_height=""wrap_content"" &gt;&#xA;&#xA;    &lt;TextView&#xA;        android:id=""@+id/tvReviewDescription""&#xA;        android:layout_width=""wrap_content""&#xA;        android:layout_height=""wrap_content""&#xA;        android:layout_alignParentLeft=""true""&#xA;        android:layout_alignParentTop=""true""&#xA;        android:maxLines=""4""&#xA;        android:text=""I tend to shy away from restaurant chains, but wherever I go, PF Chang&amp;apos;s has solidly good food and, like Starbucks, they&amp;apos;re reliable. We were staying in Boston for a week and after a long day and blah blah blah blah... ""&#xA;        android:textColor=""@color/black""&#xA;        android:textSize=""13dp"" &#xA;        android:maxLength=""280""&#xA;        android:ellipsize=""end""/&gt;&#xA;&#xA;    &lt;TextView&#xA;        android:id=""@+id/textView1""&#xA;        android:layout_width=""wrap_content""&#xA;        android:layout_height=""wrap_content""&#xA;        android:layout_alignBottom=""@+id/tvReviewDescription""&#xA;        android:layout_alignParentRight=""true""&#xA;        android:text=""@string/label_view_more""&#xA;        android:textColor=""@color/yellow"" /&gt;&#xA;&lt;/RelativeLayout&gt;&#xA;</code></pre>&#xA;&#xA;<p><img src=""https://i.stack.imgur.com/kSFaq.png"" alt=""enter image description here""></p>&#xA;"
"19219924";"Same custom list on both tabs using TabHost, but different data";"<p>I have used <code>TabHost</code> to display 2 tabs. On one of the tabs, there is a custom list. &#xA;I don't know how to display the same custom list on the other tab, but with different data. I have placed a <code>ListView</code> in the other tab too. But what to do after that? Do I need to write the whole code again? Or do I need to override the <code>OnTabChangedListener</code> method.&#xA;XML:</p>&#xA;&#xA;<pre><code>&lt;TabHost&#xA;    android:id=""@+id/tabhost""&#xA;    android:layout_width=""match_parent""&#xA;    android:layout_height=""match_parent"" &gt;&#xA;&#xA;    &lt;LinearLayout&#xA;        android:layout_width=""match_parent""&#xA;        android:layout_height=""match_parent""&#xA;        android:orientation=""vertical"" &gt;&#xA;&#xA;        &lt;TabWidget&#xA;            android:id=""@android:id/tabs""&#xA;            android:layout_width=""match_parent""&#xA;            android:layout_height=""wrap_content"" &gt;&#xA;        &lt;/TabWidget&gt;&#xA;&#xA;        &lt;FrameLayout&#xA;            android:id=""@android:id/tabcontent""&#xA;            android:layout_width=""match_parent""&#xA;            android:layout_height=""match_parent"" &gt;&#xA;&#xA;            &lt;RelativeLayout&#xA;                android:id=""@+id/tab1""&#xA;                android:layout_width=""match_parent""&#xA;                android:layout_height=""match_parent"" &gt;&#xA;&#xA;                &lt;ListView&#xA;                    android:id=""@android:id/list""&#xA;                    android:layout_width=""match_parent""&#xA;                    android:layout_height=""wrap_content""&#xA;                    android:layout_centerHorizontal=""true"" &gt;&#xA;                &lt;/ListView&gt;&#xA;&#xA;            &lt;/RelativeLayout&gt;&#xA;&#xA;            &lt;RelativeLayout&#xA;                android:id=""@+id/tab2""&#xA;                android:layout_width=""match_parent""&#xA;                android:layout_height=""match_parent"" &gt;&#xA;&#xA;                &lt;ListView&#xA;                    android:id=""@android:id/list""&#xA;                    android:layout_width=""match_parent""&#xA;                    android:layout_height=""wrap_content""&#xA;                    android:layout_centerHorizontal=""true"" &gt;&#xA;                &lt;/ListView&gt;&#xA;&#xA;            &lt;/RelativeLayout&gt;&#xA;        &lt;/FrameLayout&gt;&#xA;    &lt;/LinearLayout&gt;&#xA;&lt;/TabHost&gt;&#xA;</code></pre>&#xA;&#xA;<p>The Code:</p>&#xA;&#xA;<pre><code>public class Contacts extends ListActivity&#xA;{&#xA;private TabHost thCont;&#xA;private String TAB_1_TAG = ""tag1"";&#xA;private String TAB_2_TAG = ""tag2"";&#xA;private int[] imagesId1 = {R.drawable.praneel, R.drawable.saakshi, R.drawable.arjun, R.drawable.rishi, R.drawable.nisarg, R.drawable.ankit, R.drawable.sharad};&#xA;&#xA;@Override&#xA;protected void onCreate(Bundle savedInstanceState) &#xA;{&#xA;    super.onCreate(savedInstanceState);&#xA;    setContentView(R.layout.activity_contacts2);&#xA;    thCont = (TabHost) findViewById(R.id.tabhost);&#xA;    thCont.setup();&#xA;    TabSpec specs;&#xA;&#xA;    // Tab1&#xA;    specs = thCont.newTabSpec(TAB_1_TAG);&#xA;    specs.setContent(R.id.tab1);&#xA;    specs.setIndicator(""Managing Team"");&#xA;    thCont.addTab(specs);&#xA;&#xA;    // Tab 2&#xA;    specs = thCont.newTabSpec(TAB_2_TAG);&#xA;    specs.setContent(R.id.tab2);&#xA;    specs.setIndicator(""Heads"");&#xA;    thCont.addTab(specs);&#xA;&#xA;    setListAdapter(new MyAdapter(Contacts.this, android.R.layout.simple_list_item_1, R.id.textView1, getResources().getStringArray(R.array.contacts_list)));&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>After this there is a subclass which extends <code>ArrayAdapter</code> for the custom list. I have not displayed that part.</p>&#xA;"
"19235013";"Android parse html table with JSoup";"<p>I have looked around on stack overflow and I have found the following posts:</p>&#xA;&#xA;<p><a href=""https://stackoverflow.com/questions/7864433/how-to-parse-the-cells-of-the-3rd-column-of-a-tablehttps://stackoverflow.com/questions/7864433/how-to-parse-the-cells-of-the-3rd-column-of-a-table"">https://stackoverflow.com/questions/7864433/how-to-parse-the-cells-of-the-3rd-column-of-a-tablehttps://stackoverflow.com/questions/7864433/how-to-parse-the-cells-of-the-3rd-column-of-a-table</a></p>&#xA;&#xA;<p>but I am still a bit confused.</p>&#xA;&#xA;<p>What I have is a html table that contains a few of these inside the <code>&lt;tbody&gt;</code> tag with different dates:</p>&#xA;&#xA;<pre><code>            &lt;tr&gt;&#xA;                &lt;td&gt;&#xA;                    &lt;nobr&gt;Fri&lt;/nobr&gt;&#xA;                &lt;/td&gt;&#xA;                &lt;td&gt;&#xA;                    &lt;nobr&gt;Sep 20&lt;/nobr&gt;&#xA;                &lt;/td&gt;&#xA;                &lt;td&gt;&#xA;                    &lt;nobr&gt;4:00 PM&lt;/nobr&gt;&#xA;                &lt;/td&gt;&#xA;                &lt;td&gt;&#xA;                    Practice                &lt;/td&gt;&#xA;            &lt;/tr&gt;&#xA;</code></pre>&#xA;&#xA;<p>The table's id is ""<em>gymschedule</em>"". </p>&#xA;&#xA;<p>So far I can get the table with JSoup and I can display it in a webview with JSoup.</p>&#xA;&#xA;<p>What I need is <strong>to get the text of the second <code>&lt;nobr&gt;</code> in the second <code>&lt;td&gt;</code>, and also do this for every other group of <code>&lt;tr&gt;</code> tags in the table</strong>.</p>&#xA;"
"19267763";"Android: four directional navigation";"<p>I've been trying to implement four directional swipe navigation. And I have some questions on how to put things together.</p>&#xA;&#xA;<ol>&#xA;<li>Thinking about using fragments. Will it workout?</li>&#xA;<li>Another idea is to create a big relative layout and arrange views as shown on the picture. But possibly will have issues when rotating device portait/landscape.</li>&#xA;<li>Somehow emulate swipe effect</li>&#xA;</ol>&#xA;&#xA;<p>How all these points will workout? Can anyone help with it.&#xA;I already found questions regarding to <code>TouchMove</code> feature </p>&#xA;&#xA;<ol>&#xA;<li><a href=""https://stackoverflow.com/questions/16747531/touch-movement-in-only-four-directions"">Touch movement in only four directions?</a></li>&#xA;<li><a href=""https://stackoverflow.com/questions/937313/android-basic-gesture-detection/938657#938657"">Fling gesture detection on grid layout</a></li>&#xA;<li><a href=""https://github.com/JakeWharton/Android-DirectionalViewPager/"" rel=""nofollow noreferrer"">https://github.com/JakeWharton/Android-DirectionalViewPager/</a></li>&#xA;</ol>&#xA;&#xA;<p>Any advice and help is appreciated, the reason is that I'm relatively new to android development.</p>&#xA;&#xA;<p><img src=""https://i.stack.imgur.com/RsjSw.png"" alt=""enter image description here""></p>&#xA;"
"19298048";"Android. Custom Intent chooser";"<p>I wonder, is there any way to choose behavior using <code>Intent.createChooser</code> method?&#xA;For example, I have an image, which I would like send by e-mail, if it's chosen (first option). And on second option I'd like to send <code>sms</code> with the link on this image &#xA;(For which I'll need complex actions - upload image to the sever, retrieve download link, which I'd like to be in the <code>sms</code> and paste it to the <code>sms</code>)</p>&#xA;&#xA;<p>Could you possibly come up with any suggestion, what should I do to accomplish the second task?</p>&#xA;&#xA;<p>I believe I can send an e-mail with image with something like this:</p>&#xA;&#xA;<pre><code>Intent emailIntent = new Intent(android.content.Intent.ACTION_SEND); &#xA;emailIntent.setType(""application/image"");&#xA;emailIntent.putExtra(android.content.Intent.EXTRA_EMAIL, new String[]{textMail}); &#xA;emailIntent.putExtra(android.content.Intent.EXTRA_SUBJECT,""Some Subj""); &#xA;emailIntent.putExtra(android.content.Intent.EXTRA_TEXT, ""Some Extra Text""); &#xA;emailIntent.putExtra(Intent.EXTRA_STREAM, Uri.parse(fileUri));&#xA;startActivity(Intent.createChooser(emailIntent, ""Send mail...""));&#xA;</code></pre>&#xA;&#xA;<p><strong>UPD:</strong> I realized, that what I truly needed is to intercept the user click, if the <code>sms</code> was chosen in intent chooser. So, the question is how it might be accomplished?</p>&#xA;"
